ComplexID	ComplexName	subunits(UniProt IDs)	subunits(Gene name)
2145	HSF1-YWHAE complex	P62258;Q00613	YWHAE;HSF1
2152	ARNT-HLF complex	P27540;Q16534	ARNT;HLF
2153	ITGAM-ITGB2-CD11 complex	P05107;P08962;P11215	ITGB2;CD63;ITGAM
2156	YBX1-AKT1 complex	P31749;P67809	AKT1;YBX1
2159	AR-AKT-APPL complex	P10275;P31749;Q9UKG1	AR;AKT1;APPL1
2160	AOF2-AR complex	O60341;P10275	KDM1A;AR
2162	APPBP1-UBA3 complex	Q13564;Q8TBC4	NAE1;UBA3
2170	"Ubiquitin E3 ligase (CDC34, CUL1, RBX1)"	P49427;P62877;Q13616	CDC34;RBX1;CUL1
2171	"Ubiquitin E3 ligase (CHEK1, CUL4A)"	O14757;Q13619	CHEK1;CUL4A
2172	"Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)"	P62877;Q13619;Q16531;Q9H211	RBX1;CUL4A;DDB1;CDT1
2174	COP9 signalosome complex	P61201;Q13098;Q7L5N1;Q92905;Q99627;Q9BT78;Q9UBW8;Q9UNS2	COPS2;GPS1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3
2179	CNS-P53 complex	P04637;P61201;Q13098;Q7L5N1;Q92905;Q99627;Q9BT78;Q9UBW8;Q9UNS2	TP53;COPS2;GPS1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3
2183	KAISO-NCOR complex	O15379;O60907;O75164;O75376;P52732;Q13227;Q86T24;Q92828;Q9BZK7;Q9UPN9	HDAC3;TBL1X;KDM4A;NCOR1;KIF11;GPS2;ZBTB33;CORO2A;TBL1XR1;TRIM33
2188	"Ubiquitin E3 ligase (CDC34, NEDD8, BTRC, CUL1, SKP1A, RBX1)"	P62877;P63208;Q13616;Q15843;Q9Y297	RBX1;SKP1;CUL1;NEDD8;BTRC
2189	"Ubiquitin E3 ligase (SMAD3, BTRC, CUL1, SKP1A, RBX1)"	P62877;P63208;P84022;Q13616;Q9Y297	RBX1;SKP1;SMAD3;CUL1;BTRC
2191	"Ubiquitin E3 ligase (FBXO18, SKP1A, CUL1, RBX1)"	P62877;P63208;Q13616;Q8NFZ0	RBX1;SKP1;CUL1;FBH1
2192	"Ubiquitin E3 ligase (NIPA, SKP1A, CUL1, RBX1)"	P62877;P63208;Q13616;Q86WB0	RBX1;SKP1;CUL1;ZC3HC1
2196	9-1-1-LIG1 complex	O60671;O60921;P18858;Q99638	RAD1;HUS1;LIG1;RAD9A
2197	9-1-1-FEN1 complex	O60671;O60921;P39748;Q99638	RAD1;HUS1;FEN1;RAD9A
2198	9-1-1-POLB complex	O60671;O60921;P06746;Q99638	RAD1;HUS1;POLB;RAD9A
2199	CHTF18-RFC2-5 complex	P35249;P35250;P40937;P40938;Q8WVB6	RFC4;RFC2;RFC5;RFC3;CHTF18
2200	RFC2-5 subcomplex	P35249;P35250;P40937;P40938	RFC4;RFC2;RFC5;RFC3
2201	PCNA-RFC2-5 complex	P12004;P35249;P35250;P40937;P40938	PCNA;RFC4;RFC2;RFC5;RFC3
2203	BRD4-RFC complex	O60885;P35249;P35250;P35251;P40937;P40938	BRD4;RFC4;RFC2;RFC1;RFC5;RFC3
2204	MCM8-ORC2-CDC6 complex	Q13416;Q99741;Q9UJA3	ORC2;CDC6;MCM8
2205	ORC5-ORC1 complex	O43913;Q13415	ORC5;ORC1
2210	BRCA1-IRIS-pre-replication complex	O75496;Q13415;Q5YLB2;Q99741	GMNN;ORC1;BRCA1;CDC6
2211	BARD1-BRCA1-CSTF complex	P33240;P38398;Q05048;Q12996;Q99728	CSTF2;BRCA1;CSTF1;CSTF3;BARD1
2213	BRCA1-BARD1-POLR2A complex	P24928;P38398;Q99728	POLR2A;BRCA1;BARD1
2214	LMO4-BRCA1-CTIP-LDB1 complex	P38398;P61968;Q86U70;Q99708	BRCA1;LMO4;LDB1;RBBP8
2215	BRCA1-LMO4-CTIP complex	P38398;P61968;Q99708	BRCA1;LMO4;RBBP8
2217	MDC1-MRN-ATM-FANCD2 complex	O60934;P49959;Q13315;Q14676;Q92878;Q9BXW9	NBN;MRE11;ATM;MDC1;RAD50;FANCD2
2218	MDC1-MRE11-RAD50-NBS1 complex	O60934;P49959;Q14676;Q92878	NBN;MRE11;MDC1;RAD50
2219	TERF1 homodimer complex	P54274	TERF1
2220	RAD52-ERCC4-ERCC1 complex	P07992;P43351;Q92889	ERCC1;RAD52;ERCC4
2223	BLM-TOP3A complex	P54132;Q13472	BLM;TOP3A
2224	MSH2/6-BLM-p53-RAD51 complex	P04637;P43246;P52701;P54132;Q06609	TP53;MSH2;MSH6;BLM;RAD51
2226	MutS-alpha-PK-zeta complex	P43246;P52701;Q05513	MSH2;MSH6;PRKCZ
2228	BLM-RAD51L3-XRCC2 complex	O43543;O75771;P54132	XRCC2;RAD51D;BLM
2231	PCNA homotrimer complex	P12004	PCNA
2233	Replication-coupled CAF-1-MBD1-ETDB1 complex	Q13111;Q15047;Q9UIS9	CHAF1A;SETDB1;MBD1
2235	ASF1-interacting protein complex	P54198;P68431;Q13111;Q13112;Q9NVP2;Q9Y294	HIRA;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;CHAF1A;CHAF1B;ASF1B;ASF1A
2236	ASF1-histone containing complex	O96017;P49321;P50502;P68431;Q13112;Q9NVP2;Q9Y294	CHEK2;NASP;ST13;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;CHAF1B;ASF1B;ASF1A
2237	SP1-MCAF2 complex	P08047;Q5U623	SP1;ATF7IP2
2238	MBD1-MCAF1-SETDB1 complex	Q15047;Q6VMQ6;Q9UIS9	SETDB1;ATF7IP;MBD1
2241	HD-RAB8A-OPTN complex	P42858;P61006;Q96CV9	HTT;RAB8A;OPTN
2242	TGM2-HD-CALM1 complex	P0DP23;P21980;P42858	CALM1;TGM2;HTT
2243	TGM2-HD complex	P21980;P42858	TGM2;HTT
2254	CTGF/Hcs24-actin(beta/gamma) complex	P29279;P60709;P63261	CCN2;ACTB;ACTG1
2255	Cofilin-actin-CAP1 complex	P23528;P60709;Q01518	CFL1;ACTB;CAP1
2256	RIAM-Rap1-GTP complex	P62834;Q7Z5R6	RAP1A;APBB1IP
2258	VILIP-1-AChR-alpha-4-AChR-beta-2 complex	P17787;P43681;P62760	CHRNB2;CHRNA4;VSNL1
2266	PPP3CA-PPP3CB-RCAN1 complex	P16298;P53805;Q08209	PPP3CB;RCAN1;PPP3CA
2272	PICK1-GRIP1-GLUR2 complex	P42262;Q9NRD5;Q9Y3R0	GRIA2;PICK1;GRIP1
2294	ABI1-WASF2 complex	Q8IZP0;Q9Y6W5	ABI1;WASF2
2297	ABI1-WASL complex	O00401;Q8IZP0	WASL;ABI1
2307	AP3D1-AP3S2 complex	O14617;P59780	AP3D1;AP3S2
2308	AP3D1-AP3S1 complex	O14617;Q92572	AP3D1;AP3S1
2318	ITGA6-ITGB4-Laminin10/12 complex	O15230;P07942;P11047;P16144;P23229	LAMA5;LAMB1;LAMC1;ITGB4;ITGA6
2319	ITGA6-ITGB4-Laminin10/12 complex	O15230;P11047;P16144;P23229;P55268	LAMA5;LAMC1;ITGB4;ITGA6;LAMB2
2320	ITGA6-ITGB4-CD151 complex	P16144;P23229;P48509	ITGB4;ITGA6;CD151
2321	ITGA6-ITGB4-FYN complex	P06241;P16144;P23229	FYN;ITGB4;ITGA6
2322	ITGA6-ITGB4-LAMA5 complex	O15230;P16144;P23229	LAMA5;ITGB4;ITGA6
2323	ITGA6-ITGB4 complex	P16144;P23229	ITGB4;ITGA6
2342	ITGAV-ITGB8-MMP14-TGFB1 complex	P01137;P06756;P26012;P50281	TGFB1;ITGAV;ITGB8;MMP14
2343	ITGAV-ITGB5-PLAUR complex	P06756;P18084;Q03405	ITGAV;ITGB5;PLAUR
2345	ITGAV-ITGB5-ICAM4 complex	P06756;P18084;Q14773	ITGAV;ITGB5;ICAM4
2346	ITGAV-ITGB5-ADAM9 complex	P06756;P18084;Q13443	ITGAV;ITGB5;ADAM9
2347	ITGAV-ITGB5-SPP1 complex	P06756;P10451;P18084	ITGAV;SPP1;ITGB5
2348	ITGAV-ITGB5-CYR61 complex	O00622;P06756;P18084	CCN1;ITGAV;ITGB5
2350	ITGAV-ITGB5 complex	P06756;P18084	ITGAV;ITGB5
2351	ITGB6-FYN-FN1 complex	P02751;P06241;P18564	FN1;FYN;ITGB6
2352	ITGAV-ITGB6-SPP1 complex	P06756;P10451;P18564	ITGAV;SPP1;ITGB6
2353	ITGAV-ITGB6-TGFB3 complex	P06756;P10600;P18564	ITGAV;TGFB3;ITGB6
2354	ITGAV-ITGB6 complex	P06756;P18564	ITGAV;ITGB6
2355	ITGAV-ITGB3-CD47-FCER2 complex	P05106;P06734;P06756;Q08722	ITGB3;FCER2;ITGAV;CD47
2356	ITGB3-ITGAV-CD47 complex	P05106;P06756;Q08722	ITGB3;ITGAV;CD47
2358	ITGAV-ITGB3-SPP1 complex	P05106;P06756;P10451	ITGB3;ITGAV;SPP1
2359	ITGAV-ITGB3-ADAM15 complex	P05106;P06756;Q13444	ITGB3;ITGAV;ADAM15
2362	ITAGV-ITGB3-F11R complex	P05106;P06756;Q9Y624	ITGB3;ITGAV;F11R
2363	ITGAV-ITGB3-PXN-PTK2b complex	P05106;P06756;P49023;Q14289	ITGB3;ITGAV;PXN;PTK2B
2364	ITGAV-ITGB3-ADAM23 complex	O75077;P05106;P06756	ADAM23;ITGB3;ITGAV
2365	ITGAV-ITGB3-COL4A3 complex	P05106;P06756;Q01955	ITGB3;ITGAV;COL4A3
2366	ITGAV-ITGB3-PPAP2b complex	O14495;P05106;P06756	PLPP3;ITGB3;ITGAV
2369	ITGAV-ITGB3-EGFR complex	P00533;P05106;P06756	EGFR;ITGB3;ITGAV
2370	ITGA2B-ITGB3-CD9 complex	P05106;P08514;P21926	ITGB3;ITGA2B;CD9
2374	ITGAV-ITGB3-LAMA4 complex	P05106;P06756;Q16363	ITGB3;ITGAV;LAMA4
2375	FN1-TGM2 complex	P02751;P21980	FN1;TGM2
2376	ITGA2B-ITGB3-FN1-TGM2 complex	P02751;P05106;P08514;P21980	FN1;ITGB3;ITGA2B;TGM2
2377	ITGA2b-ITGB3-CD47-SRC complex	P05106;P08514;P12931;Q08722	ITGB3;ITGA2B;SRC;CD47
2378	ITGA2b-ITGB3-TLN1 complex	P05106;P08514;Q9Y490	ITGB3;ITGA2B;TLN1
2379	ITGA2B-ITGB3-CIB1 complex	P05106;P08514;Q99828	ITGB3;ITGA2B;CIB1
2381	ITGA2B-ITGB3 complex	P05106;P08514	ITGB3;ITGA2B
2382	ITGA2B-ITGB3-F11R complex	P05106;P08514;Q9Y624	ITGB3;ITGA2B;F11R
2383	ITGA5-ITGB1-FN1-TGM2 complex	P02751;P05556;P08648;P21980	FN1;ITGB1;ITGA5;TGM2
2384	ITGA5-ITGB1-ADAM15 complex	P05556;P08648;Q13444	ITGB1;ITGA5;ADAM15
2385	ITGA5-ITGB4 complex	P05556;P08648	ITGB1;ITGA5
2390	CD98-ITGB1-LAT2 complex	P05556;P08195;Q9UHI5	ITGB1;SLC3A2;SLC7A8
2395	ITGA7-ITGB1-CD151 complex	P05556;P48509;Q13683	ITGB1;CD151;ITGA7
2396	ITGA7-ITGB1-CD9 complex	P05556;P21926;Q13683	ITGB1;CD9;ITGA7
2397	ITGA7-ITGB1-ITGB1BP3 complex	P05556;Q13683;Q9NPI5	ITGB1;ITGA7;NMRK2
2398	ITGA3-ITGB1-BSG complex	P05556;P26006;P35613	ITGB1;ITGA3;BSG
2399	ITGA3-ITGB1-CD63 complex	P05556;P08962;P26006	ITGB1;CD63;ITGA3
2401	ITGA3-ITGB1-THBS1 complex	P05556;P07996;P26006	ITGB1;THBS1;ITGA3
2406	ITGA3-ITGB1 complex	P05556;P26006	ITGB1;ITGA3
2411	ITGA6-ITGB1-CD151 complex	P05556;P23229;P48509	ITGB1;ITGA6;CD151
2413	ITGA6-ITGB1 complex	P05556;P23229	ITGB1;ITGA6
2416	ITGB1-RAP1A-PKD1 complex	P05556;P62834;P98161	ITGB1;RAP1A;PKD1
2417	ITGA4-ITGB1-EMILIN1 complex	P05556;P13612;Q9Y6C2	ITGB1;ITGA4;EMILIN1
2418	ITGA4-ITGB1 complex	P05556;P13612	ITGB1;ITGA4
2419	ITGA4-ITGB1-CD81 complex	P05556;P13612;P60033	ITGB1;ITGA4;CD81
2420	ITGA4-ITGB1-CD53 complex	P05556;P13612;P19397	ITGB1;ITGA4;CD53
2421	ITGA4-ITGB1-VCAM1 complex	P05556;P13612;P19320	ITGB1;ITGA4;VCAM1
2422	ITGA4-ITGB1-JAM2 complex	P05556;P13612;P57087	ITGB1;ITGA4;JAM2
2423	ITGA4-ITGB1-CD47 complex	P05556;P13612;Q08722	ITGB1;ITGA4;CD47
2424	ITGA4-ITGB1-CD63 complex	P05556;P08962;P13612	ITGB1;CD63;ITGA4
2426	ITGA4-ITGB1-THBS1 complex	P05556;P07996;P13612	ITGB1;THBS1;ITGA4
2428	ITGA4-ITGB1-THBS2 complex	P05556;P13612;P35442	ITGB1;ITGA4;THBS2
2429	ITGA2-ITGB1-CD47 complex	P05556;P17301;Q08722	ITGB1;ITGA2;CD47
2430	ITGA2-ITGB1-CHAD complex	O15335;P05556;P17301	CHAD;ITGB1;ITGA2
2431	ITGA2-ITGB1-COL6A3 complex	P05556;P12111;P17301	ITGB1;COL6A3;ITGA2
2432	ITGA2-ITGB1 complex	P05556;P17301	ITGB1;ITGA2
2434	ITGA1-ITGB1-COL6A3 complex	P05556;P12111;P56199	ITGB1;COL6A3;ITGA1
2435	ITGA1-ITGB1-PTPN2 complex	P05556;P17706;P56199	ITGB1;PTPN2;ITGA1
2436	ITGAV-ITGB1 complex	P05556;P06756	ITGB1;ITGAV
2437	ITGA6-ITGB1-CYR61 complex	O00622;P05556;P23229	CCN1;ITGB1;ITGA6
2439	ITGA8-ITGB1 complex	P05556;P53708	ITGB1;ITGA8
2440	ITGA9-ITGB1-ADAM9 complex	P05556;Q13443;Q13797	ITGB1;ADAM9;ITGA9
2442	ITGA9-ITGB1-VCAM1 complex	P05556;P19320;Q13797	ITGB1;VCAM1;ITGA9
2443	ITGA9-ITGB1-TNC complex	P05556;P24821;Q13797	ITGB1;TNC;ITGA9
2444	ITGA9-ITGB1 complex	P05556;Q13797	ITGB1;ITGA9
2445	ITGA9-ITGB1-ADAM15 complex	P05556;Q13444;Q13797	ITGB1;ADAM15;ITGA9
2446	ITGA9-ITGB1-FIGF complex	O43915;P05556;Q13797	VEGFD;ITGB1;ITGA9
2447	ITGA9-ITGB1-ADAM12 complex	O43184;P05556;Q13797	ADAM12;ITGB1;ITGA9
2453	"Multiprotein complex (CBLB, EGFR, SH3KBP1)"	P00533;Q13191;Q96B97	EGFR;CBLB;SH3KBP1
2454	"CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated"	P00533;P22681;Q3V639;Q96B97	EGFR;CBL;SH3GL2;SH3KBP1
2455	CIN85-SH3GL2 complex	Q96B97;Q99962	SH3KBP1;SH3GL2
2456	"MET-CIN85-SH3GL3-CBL complex, HGF stimulated"	P08581;P22681;Q96B97;Q99963	MET;CBL;SH3KBP1;SH3GL3
2457	CIN85-SH3GL3 complex	Q96B97;Q99963	SH3KBP1;SH3GL3
2462	Caveolin-1 homodimer complex	Q03135	CAV1
2470	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	P03372;P12931;P27986;P56945	ESR1;SRC;PIK3R1;BCAR1
2471	SRC-PRKCD-CDCP1 complex	P12931;Q05655;Q9H5V8	SRC;PRKCD;CDCP1
2476	CRK-CRKL-PDGFRA-RAPGEF1 complex	P16234;P46108;P46109;Q13905	PDGFRA;CRK;CRKL;RAPGEF1
2480	"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)"	P22681;P27986;P46108;P56945;P62993;Q07889;Q96B97	CBL;PIK3R1;CRK;BCAR1;GRB2;SOS1;SH3KBP1
2486	GIPC1-LHCGR complex	O14908;P22888	GIPC1;LHCGR
2487	GIPC1-NTRK1-RGS19 complex	O14908;P04629;P49795	GIPC1;NTRK1;RGS19
2489	NCR3-CD247 complex	O14931;P20963	NCR3;CD247
2510	CRKL-WAS-WIPF1-ZAP70 complex	O43516;P42768;P43403;P46109	WIPF1;WAS;ZAP70;CRKL
2511	CRKL-WAS-WIPF1 complex	O43516;P42768;P46109	WIPF1;WAS;CRKL
2513	N-WASp homomer complex	O00401	WASL
2528	ERBB2-MEMO-SHC complex	P04626;P29353;Q9Y316	ERBB2;SHC1;MEMO1
2529	"LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated"	O43561;P15498;P19174;P22681;P27986;P62993;Q13094	LAT;VAV1;PLCG1;CBL;PIK3R1;GRB2;LCP2
2534	"Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated"	P22681;P62993;Q13094	CBL;GRB2;LCP2
2535	"SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated"	P22681;P29353;P62993;Q13094	CBL;SHC1;GRB2;LCP2
2536	PLC-gamma-2-SLP-76-Lyn-Grb2 complex	P07948;P16885;P62993;Q13094	LYN;PLCG2;GRB2;LCP2
2537	"PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated"	P16885;P17252;Q13393	PLCG2;PRKCA;PLD1
2541	HGF-Met complex	P08581;P14210	MET;HGF
2542	EGFR-CBL-GRB2 complex	P00533;P22681;P62993	EGFR;CBL;GRB2
2547	PLC-gamma-1-SLP-76-SOS1-LAT complex	O43561;P19174;Q07889;Q13094	LAT;PLCG1;SOS1;LCP2
2551	"PDGFRA-PLC-gamma-1-PI3K-SHP-2 complex, PDGF stimulated"	P16234;P19174;P27986;Q06124	PDGFRA;PLCG1;PIK3R1;PTPN11
2559	p56(LCK)-CAML complex	P06239;P49069	LCK;CAMLG
2563	FGFR2-c-Cbl-Lyn-Fyn complex	P06241;P07948;P21802;P22681	FYN;LYN;FGFR2;CBL
2564	"p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated"	P06241;P07947;P07948;P20936	FYN;YES1;LYN;RASA1
2565	"CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)"	P06239;P06241;P07948;P11836	LCK;FYN;LYN;MS4A1
2572	RAB5-EEA1 complex	P20339;Q15075	RAB5A;EEA1
2573	Class C VPS/HOPS complex	P20339;Q15075;Q96JC1;Q9H269;Q9H270;Q9P253	RAB5A;EEA1;VPS39;VPS16;VPS11;VPS18
2574	CD19-VAV1-PIK3R1 complex	P15391;P15498;P27986	CD19;VAV1;PIK3R1
2577	Sam68-p85 P13K-IRS-1-IR signaling complex	P06213;P27986;P35568;Q07666	INSR;PIK3R1;IRS1;KHDRBS1
2578	Sam68-p120GAP complex	P20936;Q07666	RASA1;KHDRBS1
2579	"Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)"	O15392;Q96GD4;Q9NQS7	BIRC5;AURKB;INCENP
2580	Survivin homodimer complex	O15392	BIRC5
2581	RasGAP-AURKA-survivin complex	O14965;O15392;P20936	AURKA;BIRC5;RASA1
2582	"Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)"	O15392;Q53HL2;Q96GD4	BIRC5;CDCA8;AURKB
2589	PGC-1-SRp40-SRp55-SRp75 complex	Q08170;Q13243;Q13247;Q9UBK2	SRSF4;SRSF5;SRSF6;PPARGC1A
2590	FOXO1-FHL2-SIRT1 complex	Q12778;Q14192;Q96EB6	FOXO1;FHL2;SIRT1
2592	SIRT1 homotrimer complex	Q96EB6	SIRT1
2593	"FOXO3-SIRT1 complex, oxidative stress stimulated"	O43524;Q96EB6	FOXO3;SIRT1
2598	NELF complex	P18615;Q8IXH7;Q8WX92;Q9H3P2	NELFE;NELFCD;NELFB;NELFA
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	O60563;P19338;P24928;P50750;Q9P2I0;Q9UBK2	CCNT1;NCL;POLR2A;CDK9;CPSF2;PPARGC1A
2600	BRD4 complex	O60244;O60563;O60885;O75448;P50750;Q15648;Q93074;Q9NVC6	MED14;CCNT1;BRD4;MED24;CDK9;MED1;MED12;MED17
2601	P-TEFb-BRD4-TRAP220 complex	O60563;O60885;P50750;Q15648	CCNT1;BRD4;CDK9;MED1
2604	P-TEFb-SKP2 complex	O60563;P50750;Q13309	CCNT1;CDK9;SKP2
2605	CCNT1-GRN complex	O60563;P28799	CCNT1;GRN
2625	CDK8-MED6-PARP1 complex	O75586;P09874;P49336	MED6;PARP1;CDK8
2626	CCNC-CDK8-MED1-MED6-MED7 xcomplex	O43513;O75586;P24863;P49336;Q15648	MED7;MED6;CCNC;CDK8;MED1
2628	CCNC-CDK3 complex	P24863;Q00526	CCNC;CDK3
2638	HES1 promoter corepressor complex	P24928;P50613;Q06330;Q09472;Q7KZ85;Q92793	POLR2A;CDK7;RBPJ;EP300;SUPT6H;CREBBP
2639	HES1 promoter-Notch enhancer complex	O60563;P24928;P46531;P49336;P50613;P50750;Q06330;Q09472;Q15648;Q7KZ85;Q92585;Q9BT40;Q9Y5B9	CCNT1;POLR2A;NOTCH1;CDK8;CDK7;CDK9;RBPJ;EP300;MED1;SUPT6H;MAML1;INPP5K;SUPT16H
2641	CREBBP-KAT2B-MYOD1 complex	P15172;Q92793;Q92831	MYOD1;CREBBP;KAT2B
2642	SMAD1-P300 complex	Q09472;Q15797	EP300;SMAD1
2649	MYC-DNMT3A-ZBTB17 complex	P01106;Q13105;Q9Y6K1	MYC;ZBTB17;DNMT3A
2650	DNMT3B-DNMT3L complex	Q9UBC3;Q9UJW3	DNMT3B;DNMT3L
2651	DNMT3L-DNMT3A complex	Q9UJW3;Q9Y6K1	DNMT3L;DNMT3A
2653	MYC-MAX-KAT2A-TRRAP complex	P01106;P61244;Q92830;Q9Y4A5	MYC;MAX;KAT2A;TRRAP
2657	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	P03372;P50613;P51946;P51948;Q13330;Q92769	ESR1;CDK7;CCNH;MNAT1;MTA1;HDAC2
2670	Er-alpha-p53-hdm2 complex	P03372;P04637;Q00987	ESR1;TP53;MDM2
2678	"FOXO3-TP53 complex, oxidative stress stimulated"	O43524;P04637	FOXO3;TP53
2679	p53-SP1 complex	P04637;P08047	TP53;SP1
2681	p53 homotetramer complex	P04637	TP53
2685	RNA polymerase II (RNAPII)	O15514;P13984;P19387;P19388;P24928;P30876;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q9BWH6;Q9Y5B0	POLR2D;GTF2F2;POLR2C;POLR2E;POLR2A;POLR2B;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;RPAP1;CTDP1
2686	BRCA1-core RNA polymerase II complex	O15514;P19387;P19388;P24928;P30876;P36954;P38398;P52434;P52435;P53803;P61218;P62487;P62875	POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;BRCA1;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L
2688	CLDN1-MMP14 complex	O95832;P50281	CLDN1;MMP14
2692	SMAD3-SMAD4-cJun-cFos complex	P01100;P05412;P84022;Q13485	FOS;JUN;SMAD3;SMAD4
2693	NFAT-JUN-FOS DNA-protein complex	P01100;P05412;Q13469	FOS;JUN;NFATC2
2694	ERG-JUN-FOS DNA-protein complex	P01100;P05412;P11308	FOS;JUN;ERG
2695	ETS2-FOS-JUN complex	P01100;P05412;P15036	FOS;JUN;ETS2
2699	ESR1-JUN-GRIP1 complex	P03372;P05412;Q9Y3R0	ESR1;JUN;GRIP1
2700	ESR1-JUN complex	P03372;P05412	ESR1;JUN
2704	Ectodermin-SMAD4 complex	Q13485;Q9UPN9	SMAD4;TRIM33
2705	SMAD3-SMAD4-CTCF protein-DNA complex	P49711;P84022;Q13485	CTCF;SMAD3;SMAD4
2706	SMAD3-SMAD4-SP1 complex	P08047;P84022;Q13485	SP1;SMAD3;SMAD4
2707	SMAD3-SMAD4-FOXO3-FOXG1 complex	O43524;P55316;P84022;Q13485	FOXO3;FOXG1;SMAD3;SMAD4
2708	SMAD3-SMAD4-cJUN complex	P05412;P84022;Q13485	JUN;SMAD3;SMAD4
2709	LRP1-MMP9-TIMP1 complex	P01033;P14780;Q07954	TIMP1;MMP9;LRP1
2711	Amyloid beta protein homo-oligomer complex	P05067	APP
2714	"Ubiquitin E3 ligase (CHEK1, CUL1)"	O14757;Q13616	CHEK1;CUL1
2715	"Ubiquitin E3 ligase (CUL1/2/3, CSN1/8, RBX1, SKP1/2)"	P62877;P63208;Q13098;Q13309;Q13616;Q13617;Q13618;Q99627	RBX1;SKP1;GPS1;SKP2;CUL1;CUL2;CUL3;COPS8
2716	Elongator core complex	O95163;Q6IA86;Q9H9T3	ELP1;ELP2;ELP3
2717	DDX58-TRIM25 complex	O95786;Q14258	DDX58;TRIM25
2718	CDC20-MAD2 complex	Q12834;Q13257	CDC20;MAD2L1
2719	Casein kinase II-HMG1 complex	P09429;P19784;P67870;P68400	HMGB1;CSNK2A2;CSNK2B;CSNK2A1
2720	"Casein kinase II (beta-dimer, alpha, alpha')"	P19784;P67870;P68400	CSNK2A2;CSNK2B;CSNK2A1
2721	HCF-1 complex	O15047;O15294;O75182;O75446;P07900;P08047;P11021;P11142;P34932;P51610;P61964;Q09028;Q13547;Q16576;Q92769;Q96ST3;Q9H7L9;Q9UBL3	SETD1A;OGT;SIN3B;SAP30;HSP90AA1;SP1;HSPA5;HSPA8;HSPA4;HCFC1;WDR5;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A;SUDS3;ASH2L
2723	ATM-NBN complex	O60934;Q13315	NBN;ATM
2724	"Ubiquitin E3 ligase (NFKBIA, BTRC, CUL1, SKP1A)"	P25963;P63208;Q13616;Q9Y297	NFKBIA;SKP1;CUL1;BTRC
2725	"Ubiquitin E3 ligase (NFKBIA, FBXW11, CUL1, SKP1A)"	P25963;P63208;Q13616;Q9UKB1	NFKBIA;SKP1;CUL1;FBXW11
2726	PXN-ITGB5-PTK2 complex	P18084;P49023;Q05397	ITGB5;PXN;PTK2
2727	SRC-3 complex	O14920;O15111;P10155;Q15596;Q92793;Q9Y6K9;Q9Y6Q9	IKBKB;CHUK;RO60;NCOA2;CREBBP;IKBKG;NCOA3
2728	SRC-1 complex	P10155;Q15596;Q15788;Q92793	RO60;NCOA2;NCOA1;CREBBP
2730	Set1B complex	P61964;Q15291;Q6UXN9;Q9P0U4;Q9UBL3;Q9UPS6	WDR5;RBBP5;WDR82;CXXC1;ASH2L;SETD1B
2731	Set1A complex	O15047;P61964;Q15291;Q6UXN9;Q9P0U4;Q9UBL3	SETD1A;WDR5;RBBP5;WDR82;CXXC1;ASH2L
2734	APH1A-PSEN1-NCSTN complex	P49768;Q92542;Q96BI3	PSEN1;NCSTN;APH1A
2735	APH1A-PSEN2-NCSTN complex	P49810;Q92542;Q96BI3	PSEN2;NCSTN;APH1A
2736	TROY-NGR-LINGO1 complex	Q96FE5;Q9BZR6;Q9NS68	LINGO1;RTN4R;TNFRSF19
2738	BLM complex II	P15927;P27694;P35244;P54132;Q13472;Q9H9A7	RPA2;RPA1;RPA3;BLM;TOP3A;RMI1
2739	FA complex (Fanconi anemia complex)	O15287;O15360;P27694;P54132;Q00597;Q13472;Q8NB91;Q9H9A7;Q9HB96;Q9NPI8;Q9NW38	FANCG;FANCA;RPA1;BLM;FANCC;TOP3A;FANCB;RMI1;FANCE;FANCF;FANCL
